fecha_pedido,dia_semana,mes,dia_mes,hora_pedido,es_fin_semana,es_festivo,cliente_id,segmento_cliente,compras_previas,ticket_promedio_historico,dias_desde_ultima_compra,zona_entrega,num_items_carrito,incluye_perecederos,valor_carrito,tipo_entrega,nivel_inventario_general,productos_agotados,tiempo_carga_sitio,hay_promocion,descuento_aplicado,canal_adquisicion,clima,temperatura,compra_exitosa
2024-05-22 08:58:45,Wednesday,5,22,8,0,0,CLI_9830,Nuevo,0,0.0,999,Mixco,18,1,68.98,Mismo día,69.68,6,3.7,0,0,Orgánico,Nublado,31.5,0
2025-02-12 13:10:47,Wednesday,2,12,13,0,0,CLI_4593,VIP,36,71.56,48,Zona 1,19,1,68.23,Mismo día,64.27,8,4.91,0,0,Búsqueda Pagada,Soleado,21.5,0
2024-02-18 03:59:31,Sunday,2,18,3,1,0,CLI_3504,Regular,17,37.31,69,Zona 10,16,1,86.91,Día siguiente,18.08,15,2.17,0,0,Búsqueda Pagada,Soleado,27.7,0
2024-03-06 14:00:32,Wednesday,3,6,14,0,0,CLI_7252,Inactivo,1,16.51,85,Zona 10,1,1,4.91,Mismo día,59.3,12,4.71,0,0,Redes Sociales,Soleado,31.2,0
2024-01-12 04:10:14,Friday,1,12,4,0,0,CLI_9797,Inactivo,2,20.08,2,Zona 10,8,0,22.56,Día siguiente,32.3,12,1.65,0,0,Orgánico,Soleado,24.3,0
2024-12-14 04:03:41,Saturday,12,14,4,1,0,CLI_5808,Nuevo,0,0.0,999,Zona 1,14,1,32.26,Programada,77.69,3,3.1,0,0,Email,Soleado,19.6,0
2024-09-26 18:13:32,Thursday,9,26,18,0,0,CLI_3927,Inactivo,2,26.82,86,Zona 10,10,1,38.2,Día siguiente,81.83,3,1.47,0,0,Orgánico,Lluvioso,23.3,1
2025-10-16 18:29:00,Thursday,10,16,18,0,0,CLI_4258,Regular,10,43.15,13,San Miguel Petapa,10,1,22.46,Mismo día,52.28,5,2.48,0,0,Orgánico,Soleado,26.4,0
2025-07-06 19:18:34,Sunday,7,6,19,1,0,CLI_1009,Regular,3,29.33,1,Zona 15,22,1,68.14,Programada,52.5,7,3.25,0,0,Orgánico,Lluvioso,25.6,0
2024-11-10 08:43:05,Sunday,11,10,8,1,0,CLI_1949,Nuevo,0,0.0,999,Zona 1,5,1,11.22,Programada,96.56,3,1.29,0,0,Referido,Nublado,21.5,1
2025-05-12 02:31:11,Monday,5,12,2,0,0,CLI_9727,Regular,7,34.96,10,San Miguel Petapa,4,1,14.26,Mismo día,54.2,10,3.46,0,0,Orgánico,Nublado,25.3,0
2025-07-16 06:00:43,Wednesday,7,16,6,0,0,CLI_5342,Regular,14,34.7,33,Zona 15,19,1,145.33,Mismo día,82.62,0,3.43,0,0,Orgánico,Lluvioso,21.8,0
2024-07-24 11:20:57,Wednesday,7,24,11,0,0,CLI_7537,Nuevo,0,0.0,999,Mixco,23,0,136.49,Mismo día,42.92,5,1.77,0,0,Email,Nublado,26.8,0
2025-06-13 16:26:17,Friday,6,13,16,0,0,CLI_2982,VIP,40,117.73,36,Zona 10,9,1,61.57,Programada,88.97,3,2.17,1,5,Búsqueda Pagada,Soleado,22.3,1
2025-07-21 08:22:41,Monday,7,21,8,0,0,CLI_4608,VIP,49,113.18,62,Zona 15,22,1,162.21,Mismo día,46.25,6,3.08,0,0,Redes Sociales,Lluvioso,21.3,1
2025-10-08 02:08:36,Wednesday,10,8,2,0,0,CLI_4750,Regular,6,48.65,16,Villa Nueva,13,1,64.56,Mismo día,56.9,12,2.49,1,5,Orgánico,Lluvioso,25.6,0
2024-12-04 02:34:47,Wednesday,12,4,2,0,0,CLI_9423,Regular,8,27.1,13,Zona 10,9,1,66.16,Mismo día,37.53,17,2.18,0,0,Referido,Lluvioso,27.9,0
2024-08-07 19:37:58,Wednesday,8,7,19,0,0,CLI_3167,VIP,89,99.57,19,Villa Nueva,22,1,100.0,Programada,63.66,9,2.46,0,0,Redes Sociales,Nublado,25.4,0
2024-07-13 03:26:03,Saturday,7,13,3,1,0,CLI_2588,VIP,58,102.22,77,Zona 10,17,0,122.6,Mismo día,70.14,2,4.64,0,0,Email,Lluvioso,19.7,1
2025-02-24 17:00:13,Monday,2,24,17,0,0,CLI_1887,Nuevo,0,0.0,999,Zona 10,1,1,6.18,Mismo día,67.59,9,0.7,0,0,Búsqueda Pagada,Nublado,22.6,1
2024-12-13 03:58:42,Friday,12,13,3,0,0,CLI_5073,Regular,10,29.24,36,Zona 15,18,1,44.4,Programada,30.5,29,3.21,0,0,Orgánico,Soleado,27.4,0
2024-07-06 10:08:29,Saturday,7,6,10,1,0,CLI_8579,Regular,7,40.34,66,Zona 1,18,1,40.88,Mismo día,73.08,0,4.0,0,0,Búsqueda Pagada,Lluvioso,25.5,1
2025-07-17 03:33:53,Thursday,7,17,3,0,0,CLI_1828,Regular,19,45.96,1,Zona 1,23,1,141.46,Día siguiente,75.14,4,3.77,1,5,Orgánico,Lluvioso,20.5,0
2024-08-30 06:03:18,Friday,8,30,6,0,0,CLI_7658,Regular,6,30.72,32,Zona 1,8,1,48.24,Día siguiente,71.37,2,2.84,1,10,Redes Sociales,Soleado,22.0,0
2024-03-01 05:59:39,Friday,3,1,5,0,0,CLI_7209,Nuevo,0,0.0,999,Zona 1,15,1,85.83,Día siguiente,59.24,14,4.91,0,0,Email,Soleado,25.9,0
2024-09-28 16:33:58,Saturday,9,28,16,1,0,CLI_5673,VIP,57,81.56,79,Zona 10,23,0,165.01,Programada,56.49,6,2.57,1,15,Orgánico,Lluvioso,24.2,0
2025-07-23 17:43:08,Wednesday,7,23,17,0,0,CLI_3536,Regular,13,39.49,75,Zona 1,23,1,126.7,Mismo día,44.76,6,2.06,1,10,Email,Lluvioso,19.9,0
2025-08-16 19:44:26,Saturday,8,16,19,1,0,CLI_1998,Nuevo,0,0.0,999,Zona 10,10,0,21.91,Día siguiente,73.3,4,2.57,0,0,Redes Sociales,Nublado,24.9,1
2025-08-21 17:21:33,Thursday,8,21,17,0,0,CLI_9238,Nuevo,0,0.0,999,Villa Nueva,22,1,111.54,Mismo día,66.48,10,2.68,0,0,Redes Sociales,Lluvioso,25.5,1
2024-07-09 02:29:41,Tuesday,7,9,2,0,0,CLI_2113,Nuevo,0,0.0,999,Zona 10,7,1,51.6,Día siguiente,69.88,14,0.98,0,0,Redes Sociales,Lluvioso,20.7,0
2025-08-06 08:57:51,Wednesday,8,6,8,0,0,CLI_1651,Regular,12,39.1,17,Zona 10,12,1,88.12,Día siguiente,87.77,4,2.66,0,0,Email,Nublado,23.9,1
2025-08-20 20:34:45,Wednesday,8,20,20,0,0,CLI_9565,Regular,12,32.09,6,Villa Nueva,2,1,8.27,Programada,74.74,4,4.7,0,0,Orgánico,Lluvioso,22.9,0
2024-11-17 08:41:25,Sunday,11,17,8,1,0,CLI_5351,VIP,81,69.96,24,Villa Nueva,23,1,118.38,Mismo día,59.47,6,0.52,1,10,Email,Nublado,25.2,0
2025-04-13 11:30:41,Sunday,4,13,11,1,0,CLI_2188,Regular,15,44.24,70,San Miguel Petapa,4,1,12.79,Día siguiente,48.72,14,1.02,0,0,Orgánico,Soleado,26.5,0
2024-04-12 02:40:02,Friday,4,12,2,0,0,CLI_9808,Regular,13,39.85,6,Zona 10,10,1,23.8,Programada,89.29,0,1.12,0,0,Orgánico,Soleado,31.1,1
2024-05-15 12:42:25,Wednesday,5,15,12,0,0,CLI_2127,VIP,68,109.55,60,San Miguel Petapa,14,1,89.39,Programada,53.46,14,2.21,1,15,Orgánico,Nublado,33.3,0
2024-06-10 15:57:13,Monday,6,10,15,0,0,CLI_9900,VIP,79,61.46,85,Zona 10,19,0,110.25,Programada,65.15,4,4.17,0,0,Redes Sociales,Lluvioso,21.0,0
2025-07-21 10:54:00,Monday,7,21,10,0,0,CLI_2697,VIP,34,90.42,17,Villa Nueva,23,1,121.01,Programada,16.69,28,2.94,0,0,Orgánico,Nublado,24.9,0
2024-04-19 20:08:32,Friday,4,19,20,0,0,CLI_3546,Nuevo,0,0.0,999,Villa Nueva,1,1,6.45,Día siguiente,81.07,0,0.65,0,0,Referido,Nublado,28.4,1
2024-07-27 23:05:30,Saturday,7,27,23,1,0,CLI_5325,VIP,50,76.52,88,Mixco,15,0,78.59,Mismo día,74.83,3,3.75,1,10,Email,Nublado,20.5,1
2024-02-22 03:21:37,Thursday,2,22,3,0,0,CLI_7939,Regular,13,48.98,38,Zona 10,23,1,85.73,Día siguiente,63.37,10,4.42,1,10,Email,Lluvioso,25.1,0
2024-05-13 23:11:47,Monday,5,13,23,0,0,CLI_5291,Nuevo,0,0.0,999,Zona 15,9,1,22.18,Mismo día,36.62,18,4.67,0,0,Orgánico,Soleado,33.4,0
2025-03-13 20:25:19,Thursday,3,13,20,0,0,CLI_1158,Nuevo,0,0.0,999,San Miguel Petapa,22,1,74.02,Día siguiente,89.61,1,4.11,0,0,Orgánico,Soleado,30.4,0
2025-07-12 01:18:42,Saturday,7,12,1,1,0,CLI_7049,Inactivo,2,24.31,34,San Miguel Petapa,11,1,51.86,Mismo día,55.78,10,3.1,0,0,Orgánico,Lluvioso,25.8,1
2025-01-08 01:27:09,Wednesday,1,8,1,0,0,CLI_6862,Regular,19,29.45,84,Zona 15,20,1,143.28,Día siguiente,58.02,9,2.42,1,5,Redes Sociales,Nublado,21.8,1
2024-04-15 12:52:37,Monday,4,15,12,0,0,CLI_7658,VIP,38,54.6,78,Mixco,18,1,93.72,Mismo día,31.79,15,3.94,0,0,Orgánico,Soleado,32.5,0
2024-06-30 15:00:40,Sunday,6,30,15,1,1,CLI_1406,Regular,16,38.16,87,San Miguel Petapa,18,1,107.16,Mismo día,34.66,17,0.97,1,5,Email,Lluvioso,19.0,0
2025-02-25 09:02:07,Tuesday,2,25,9,0,0,CLI_5371,Nuevo,0,0.0,999,Mixco,24,1,167.55,Mismo día,51.68,7,1.13,0,0,Orgánico,Soleado,24.3,0
2025-01-26 01:24:35,Sunday,1,26,1,1,0,CLI_8711,VIP,38,58.59,19,Zona 15,18,1,134.35,Día siguiente,74.69,2,3.16,0,0,Email,Soleado,23.5,0
2025-04-16 12:43:50,Wednesday,4,16,12,0,0,CLI_6000,Regular,14,30.49,86,Villa Nueva,17,1,91.71,Programada,54.85,9,4.1,0,0,Orgánico,Soleado,30.4,1
2024-07-16 14:30:27,Tuesday,7,16,14,0,0,CLI_6378,Regular,9,30.45,22,Villa Nueva,4,0,20.62,Mismo día,31.57,26,2.32,0,0,Email,Lluvioso,19.4,0
2024-10-12 12:47:05,Saturday,10,12,12,1,0,CLI_9346,Regular,8,43.3,12,Mixco,21,0,114.24,Día siguiente,76.04,4,2.22,0,0,Orgánico,Lluvioso,25.4,1
2024-01-29 04:11:58,Monday,1,29,4,0,0,CLI_5279,Nuevo,0,0.0,999,Mixco,21,1,78.38,Mismo día,33.82,12,4.77,0,0,Búsqueda Pagada,Soleado,22.8,1
2025-09-02 15:49:19,Tuesday,9,2,15,0,0,CLI_6663,Regular,17,31.56,81,Zona 15,13,1,52.07,Día siguiente,84.82,4,2.05,0,0,Redes Sociales,Nublado,24.0,0
2024-04-28 14:01:28,Sunday,4,28,14,1,0,CLI_4114,Regular,5,45.48,44,San Miguel Petapa,6,1,15.71,Mismo día,62.44,3,1.33,0,0,Referido,Nublado,33.1,0
2024-01-02 18:55:46,Tuesday,1,2,18,0,0,CLI_9821,Regular,18,46.23,25,San Miguel Petapa,12,1,73.91,Mismo día,82.7,1,0.68,1,20,Orgánico,Soleado,27.2,1
2024-12-04 22:41:18,Wednesday,12,4,22,0,0,CLI_6143,Nuevo,0,0.0,999,Mixco,9,1,67.92,Programada,60.04,6,4.3,0,0,Referido,Soleado,24.0,0
2025-02-22 11:52:33,Saturday,2,22,11,1,0,CLI_7592,Nuevo,0,0.0,999,Zona 1,2,1,12.36,Mismo día,79.05,3,3.08,1,10,Email,Nublado,23.2,1
2025-01-23 06:20:10,Thursday,1,23,6,0,0,CLI_5930,Regular,14,30.82,55,Zona 15,2,0,4.0,Mismo día,80.32,2,4.99,0,0,Referido,Soleado,22.8,0
2024-11-07 10:26:46,Thursday,11,7,10,0,0,CLI_4443,Regular,14,49.6,10,Zona 1,7,0,44.98,Mismo día,62.4,5,2.6,0,0,Referido,Nublado,23.9,0
2025-04-21 16:05:05,Monday,4,21,16,0,0,CLI_8244,Regular,16,26.13,15,Zona 10,24,1,79.43,Programada,68.02,10,2.6,0,0,Orgánico,Lluvioso,27.3,0
2024-10-17 18:46:01,Thursday,10,17,18,0,0,CLI_6491,Inactivo,3,19.61,74,Zona 1,9,1,69.69,Día siguiente,58.22,7,0.76,1,15,Búsqueda Pagada,Soleado,19.7,0
2024-08-28 11:18:07,Wednesday,8,28,11,0,0,CLI_4680,Regular,19,28.85,32,Zona 15,13,1,84.33,Mismo día,20.5,18,0.7,1,5,Orgánico,Soleado,25.4,0
2025-05-01 22:15:20,Thursday,5,1,22,0,1,CLI_2193,Regular,17,25.13,5,Zona 1,18,1,139.91,Mismo día,43.27,14,0.84,1,10,Redes Sociales,Nublado,33.2,0
2025-08-12 07:04:45,Tuesday,8,12,7,0,0,CLI_7291,Regular,4,38.59,77,Zona 10,6,1,40.71,Día siguiente,83.49,0,4.69,0,0,Email,Lluvioso,26.8,1
2024-01-06 03:52:50,Saturday,1,6,3,1,0,CLI_7965,Inactivo,1,15.58,23,Zona 1,11,1,71.07,Mismo día,78.9,3,3.0,1,5,Orgánico,Soleado,21.3,1
2025-06-14 16:54:49,Saturday,6,14,16,1,0,CLI_1822,Regular,10,31.5,60,Zona 1,13,1,36.02,Mismo día,62.4,4,2.04,0,0,Búsqueda Pagada,Lluvioso,27.4,0
2025-04-20 19:20:16,Sunday,4,20,19,1,0,CLI_6198,Regular,6,32.52,17,Villa Nueva,17,0,82.3,Mismo día,40.49,10,0.71,1,20,Búsqueda Pagada,Nublado,26.3,0
2025-05-31 15:32:13,Saturday,5,31,15,1,0,CLI_9976,VIP,26,54.59,33,Zona 10,15,1,99.34,Día siguiente,29.73,13,2.42,0,0,Orgánico,Nublado,31.9,0
2024-09-10 23:12:59,Tuesday,9,10,23,0,0,CLI_5543,Nuevo,0,0.0,999,Zona 1,14,1,82.98,Mismo día,52.29,3,4.83,0,0,Email,Soleado,26.6,0
2024-10-19 08:32:15,Saturday,10,19,8,1,0,CLI_5451,Inactivo,3,20.48,3,Zona 10,6,1,38.85,Mismo día,74.72,1,4.39,0,0,Búsqueda Pagada,Lluvioso,26.7,1
2024-06-03 08:25:11,Monday,6,3,8,0,0,CLI_7275,VIP,98,81.76,50,Villa Nueva,3,1,8.36,Mismo día,65.46,14,4.85,0,0,Redes Sociales,Lluvioso,24.0,0
2024-03-06 15:06:17,Wednesday,3,6,15,0,0,CLI_7678,Regular,6,38.96,48,Zona 15,22,0,87.02,Día siguiente,69.68,3,0.55,0,0,Redes Sociales,Soleado,31.0,0
2024-03-04 07:31:50,Monday,3,4,7,0,0,CLI_7883,Regular,15,43.93,41,Zona 1,22,0,57.85,Mismo día,51.27,11,3.07,0,0,Redes Sociales,Soleado,28.5,0
2024-01-21 20:57:36,Sunday,1,21,20,1,0,CLI_7232,VIP,21,87.4,77,Zona 1,13,1,53.91,Mismo día,65.05,12,1.25,0,0,Email,Nublado,18.3,0
2025-03-05 19:35:45,Wednesday,3,5,19,0,0,CLI_9947,Inactivo,3,27.26,41,Mixco,8,1,50.28,Día siguiente,73.13,2,2.68,0,0,Redes Sociales,Soleado,32.8,1
2024-01-30 14:09:28,Tuesday,1,30,14,0,0,CLI_6507,Regular,11,29.1,14,Zona 1,22,1,76.62,Mismo día,57.76,9,2.62,1,15,Redes Sociales,Soleado,19.6,0
2025-09-29 19:26:48,Monday,9,29,19,0,0,CLI_1441,Nuevo,0,0.0,999,Mixco,5,1,26.27,Mismo día,55.57,14,1.4,0,0,Orgánico,Lluvioso,20.6,0
2025-03-14 04:56:26,Friday,3,14,4,0,0,CLI_8564,Regular,7,33.65,20,Zona 15,18,1,91.51,Día siguiente,66.68,6,4.43,1,10,Orgánico,Soleado,34.1,1
2025-01-23 11:55:06,Thursday,1,23,11,0,0,CLI_4467,Nuevo,0,0.0,999,Mixco,8,0,51.19,Mismo día,57.95,10,2.32,0,0,Email,Soleado,23.1,1
2025-01-23 10:07:51,Thursday,1,23,10,0,0,CLI_7906,Regular,8,37.31,62,Zona 1,15,0,76.33,Mismo día,42.72,13,1.9,0,0,Referido,Soleado,23.9,1
2024-01-20 19:38:22,Saturday,1,20,19,1,0,CLI_1853,Regular,6,49.25,47,Zona 10,10,1,46.52,Mismo día,68.47,12,3.51,0,0,Redes Sociales,Soleado,27.5,0
2025-10-29 01:27:56,Wednesday,10,29,1,0,0,CLI_1508,Regular,13,43.41,76,Zona 15,17,1,116.18,Día siguiente,63.52,6,1.71,0,0,Redes Sociales,Soleado,18.4,1
2024-05-09 17:14:30,Thursday,5,9,17,0,0,CLI_2874,Nuevo,0,0.0,999,Zona 15,21,1,81.84,Día siguiente,70.51,3,1.17,1,20,Orgánico,Soleado,31.4,1
2025-01-12 06:06:32,Sunday,1,12,6,1,0,CLI_2876,VIP,75,86.09,50,Zona 10,6,1,16.53,Mismo día,37.85,10,3.79,0,0,Orgánico,Lluvioso,20.6,1
2024-11-15 20:57:50,Friday,11,15,20,0,0,CLI_7149,Regular,13,42.08,82,Mixco,8,1,43.39,Mismo día,71.78,0,3.6,0,0,Orgánico,Nublado,21.9,1
2025-10-04 08:50:30,Saturday,10,4,8,1,0,CLI_2669,Regular,4,49.99,70,Zona 10,1,0,7.96,Día siguiente,61.43,13,4.45,0,0,Orgánico,Nublado,26.1,0
2025-09-06 04:24:26,Saturday,9,6,4,1,0,CLI_1672,VIP,42,80.49,75,Zona 10,22,1,44.76,Mismo día,58.18,14,3.24,0,0,Redes Sociales,Nublado,24.0,0
2024-03-11 18:25:17,Monday,3,11,18,0,0,CLI_6590,Regular,5,30.68,11,Mixco,14,1,80.04,Mismo día,67.14,4,2.66,0,0,Orgánico,Soleado,29.0,0
2025-05-16 03:50:33,Friday,5,16,3,0,0,CLI_8102,Regular,14,36.92,43,Villa Nueva,6,0,37.85,Programada,62.25,7,1.38,0,0,Email,Soleado,27.4,0
2025-04-15 05:34:12,Tuesday,4,15,5,0,0,CLI_8135,Inactivo,3,18.94,13,Zona 10,2,1,9.83,Mismo día,48.14,14,2.93,0,0,Email,Nublado,27.7,0
2025-10-28 09:50:00,Tuesday,10,28,9,0,0,CLI_9817,Regular,13,28.08,74,Villa Nueva,7,1,18.49,Día siguiente,44.18,12,4.63,0,0,Orgánico,Soleado,21.7,0
2025-08-29 09:46:19,Friday,8,29,9,0,0,CLI_6280,Regular,17,48.79,22,Villa Nueva,22,1,74.11,Mismo día,38.2,19,4.55,0,0,Orgánico,Nublado,20.7,0
2024-09-06 16:55:10,Friday,9,6,16,0,0,CLI_7209,VIP,79,97.0,89,Zona 1,4,1,18.84,Día siguiente,98.32,0,3.82,1,5,Orgánico,Lluvioso,24.4,1
2024-11-28 06:37:14,Thursday,11,28,6,0,0,CLI_8988,Regular,13,30.8,78,Mixco,2,1,5.64,Día siguiente,38.79,16,3.76,0,0,Orgánico,Nublado,24.0,0
2025-09-02 10:03:31,Tuesday,9,2,10,0,0,CLI_1166,Regular,9,44.32,36,Zona 1,1,1,3.15,Mismo día,27.57,15,2.1,0,0,Redes Sociales,Lluvioso,26.0,0
2024-09-03 17:20:02,Tuesday,9,3,17,0,0,CLI_9041,Nuevo,0,0.0,999,Zona 15,6,1,35.43,Día siguiente,39.46,15,0.74,0,0,Redes Sociales,Soleado,22.5,0
2025-02-18 08:51:30,Tuesday,2,18,8,0,0,CLI_6016,Regular,14,27.22,69,Zona 10,15,0,45.34,Mismo día,42.0,11,4.2,0,0,Orgánico,Lluvioso,22.7,0
2025-06-27 12:30:56,Friday,6,27,12,0,0,CLI_7971,Regular,10,25.5,84,San Miguel Petapa,12,0,84.63,Día siguiente,50.02,9,4.39,0,0,Redes Sociales,Lluvioso,18.6,0
2025-04-09 09:51:49,Wednesday,4,9,9,0,0,CLI_6023,Nuevo,0,0.0,999,Zona 10,13,1,55.71,Mismo día,70.76,0,2.99,0,0,Redes Sociales,Soleado,31.0,1
2024-07-16 11:29:19,Tuesday,7,16,11,0,0,CLI_2958,Regular,5,44.66,15,San Miguel Petapa,5,1,16.26,Programada,67.05,5,3.53,0,0,Email,Lluvioso,20.1,1
2025-08-26 19:06:05,Tuesday,8,26,19,0,0,CLI_5636,VIP,34,78.21,66,Zona 10,3,1,23.23,Día siguiente,60.11,12,4.2,0,0,Referido,Soleado,22.9,0
2024-08-20 13:08:21,Tuesday,8,20,13,0,0,CLI_3939,Regular,16,29.37,3,San Miguel Petapa,6,0,35.99,Mismo día,83.6,3,0.86,1,5,Redes Sociales,Soleado,26.8,1
2025-06-30 04:36:31,Monday,6,30,4,0,1,CLI_5494,Regular,8,25.01,43,Mixco,23,1,99.33,Día siguiente,0.0,11,2.57,0,0,Búsqueda Pagada,Lluvioso,25.0,0
2024-05-09 23:13:26,Thursday,5,9,23,0,0,CLI_9042,Inactivo,3,18.41,21,Zona 1,14,1,42.93,Día siguiente,90.84,0,1.55,0,0,Orgánico,Nublado,33.5,1
2025-04-25 17:25:46,Friday,4,25,17,0,0,CLI_8216,VIP,82,81.48,7,Zona 15,22,1,67.35,Mismo día,89.88,4,0.55,0,0,Redes Sociales,Soleado,27.6,0
2024-09-15 17:23:36,Sunday,9,15,17,1,1,CLI_2869,VIP,77,63.28,5,Zona 10,21,1,72.39,Programada,28.03,20,2.54,1,5,Redes Sociales,Lluvioso,21.2,0
2025-08-13 22:55:02,Wednesday,8,13,22,0,0,CLI_1878,VIP,71,110.17,42,Villa Nueva,13,1,100.52,Día siguiente,60.21,11,4.74,1,5,Orgánico,Soleado,20.5,0
2025-07-30 11:03:44,Wednesday,7,30,11,0,0,CLI_2395,VIP,47,94.6,34,Zona 10,22,1,73.96,Programada,85.63,4,3.82,0,0,Email,Lluvioso,18.8,1
2025-09-25 08:13:01,Thursday,9,25,8,0,0,CLI_9561,VIP,70,54.99,24,Zona 1,20,0,86.51,Mismo día,64.06,6,2.07,1,10,Orgánico,Lluvioso,19.0,1
2025-03-29 10:49:34,Saturday,3,29,10,1,1,CLI_8025,Regular,10,31.63,38,Zona 1,16,1,118.29,Día siguiente,48.61,11,3.4,0,0,Orgánico,Lluvioso,33.0,0
2024-04-11 07:33:55,Thursday,4,11,7,0,0,CLI_4457,Regular,10,27.85,13,Zona 15,16,1,91.18,Mismo día,49.47,12,2.02,1,5,Redes Sociales,Soleado,29.4,0
2025-07-19 02:43:58,Saturday,7,19,2,1,0,CLI_3564,Regular,14,29.94,46,Zona 1,21,1,126.6,Mismo día,62.17,4,3.36,0,0,Búsqueda Pagada,Nublado,23.6,0
2025-04-26 10:36:15,Saturday,4,26,10,1,0,CLI_1534,Nuevo,0,0.0,999,Zona 1,22,1,173.98,Programada,76.82,4,3.78,0,0,Email,Soleado,34.7,0
2025-04-09 02:35:29,Wednesday,4,9,2,0,0,CLI_4824,Regular,14,43.32,43,Villa Nueva,1,0,5.67,Mismo día,89.21,4,1.22,0,0,Orgánico,Soleado,32.3,1
2024-07-21 15:28:43,Sunday,7,21,15,1,0,CLI_2880,Inactivo,4,18.88,64,Villa Nueva,11,1,58.64,Día siguiente,52.85,9,3.27,0,0,Redes Sociales,Nublado,23.2,0
2024-09-29 05:10:43,Sunday,9,29,5,1,0,CLI_2169,VIP,77,52.47,81,Zona 1,2,1,8.42,Mismo día,43.83,10,2.76,0,0,Redes Sociales,Nublado,25.8,1
2024-11-10 21:39:53,Sunday,11,10,21,1,0,CLI_5728,Nuevo,0,0.0,999,Zona 1,6,0,12.07,Mismo día,29.84,19,3.29,0,0,Referido,Soleado,23.9,0
2024-11-07 14:39:17,Thursday,11,7,14,0,0,CLI_5460,Regular,16,43.09,80,Zona 10,20,1,46.34,Mismo día,96.29,3,4.21,0,0,Orgánico,Soleado,21.3,1
2025-03-18 11:44:07,Tuesday,3,18,11,0,0,CLI_5102,VIP,50,107.76,19,Zona 15,4,1,15.88,Mismo día,96.67,1,2.17,0,0,Referido,Nublado,32.3,1
2025-08-12 21:22:35,Tuesday,8,12,21,0,0,CLI_1339,Regular,3,35.53,4,Zona 15,15,1,91.73,Programada,78.25,1,3.14,0,0,Redes Sociales,Lluvioso,18.3,0
